City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port alfred,0,ZA,1524365627,98,-33.59,26.89,64.83,11.7
1,punta arenas,0,CL,1524362400,100,-53.16,-70.91,39.2,21.92
2,padang,8,ID,1524365024,100,-0.92,100.36,81.93,2.3
3,busselton,68,AU,1524365642,100,-33.64,115.35,64.92,22.1
4,georgetown,75,GY,1524362400,94,6.8,-58.16,75.2,4.7
5,la union,56,GT,1524365935,94,14.97,-89.29,69.06,2.19
6,hobart,40,AU,1524362400,45,-42.88,147.33,68.0,8.05
7,tortoli,0,IT,1524362100,55,39.93,9.66,62.6,1.12
8,saint george,0,GR,1524361800,75,39.45,22.34,46.4,4.7
9,melfort,90,CA,1524362400,86,52.87,-104.61,41.0,13.87
10,huarmey,76,PE,1524365870,74,-10.07,-78.15,64.2,2.75
11,bethel,90,US,1524361980,52,60.79,-161.76,42.8,11.41
12,synya,0,RU,1524365936,73,65.37,58.04,5.79,2.64
13,japura,64,ID,1524365937,93,-0.42,102.29,78.78,2.64
14,atuona,0,PF,1524365628,100,-9.8,-139.03,80.94,14.27
15,chara,0,GR,1524361800,75,39.42,22.43,46.4,4.7
16,lavrentiya,0,RU,1524365059,100,65.58,-170.99,22.8,25.79
17,sao miguel do araguaia,12,BR,1524365937,79,-13.28,-50.16,74.37,3.53
18,graham,75,US,1524365460,54,36.07,-79.4,57.2,4.7
19,hay river,90,CA,1524363000,79,60.82,-115.79,28.4,8.05
20,pangnirtung,32,CA,1524365772,84,66.15,-65.72,10.92,1.63
21,mataura,64,NZ,1524365623,77,-46.19,168.86,52.86,17.07
22,butaritari,0,KI,1524365632,100,3.07,172.79,83.91,12.82
23,vuktyl,0,RU,1524365939,73,63.86,57.31,13.98,3.53
24,ostrovnoy,76,RU,1524365757,79,68.05,39.51,10.38,3.98
25,vaini,0,IN,1524365641,64,15.34,74.49,80.31,3.65
26,pevek,8,RU,1524365689,87,69.7,170.27,28.29,3.31
27,ushuaia,40,AR,1524362400,86,-54.81,-68.31,39.2,18.34
28,port keats,0,AU,1524365940,64,-14.25,129.55,91.92,9.24
29,cherskiy,8,RU,1524365115,80,68.75,161.3,35.94,1.52
30,midland,0,US,1524363300,51,32.0,-102.08,62.6,18.34
31,mwanza,92,TZ,1524365941,100,-2.52,32.9,66.36,2.19
32,adamovka,0,RU,1524365941,82,51.52,59.94,33.51,7.23
33,the valley,20,AI,1524362400,69,18.22,-63.06,77.0,11.41
34,rikitea,92,PF,1524365630,100,-23.12,-134.97,78.96,8.46
35,lebu,90,ET,1524362400,93,8.96,38.73,55.4,4.7
36,victoria,75,BN,1524364200,83,5.28,115.24,84.2,1.12
37,ribeira grande,88,PT,1524365708,99,38.52,-28.7,63.21,13.6
38,castro,92,CL,1524365505,100,-42.48,-73.76,46.56,7.0
39,faanui,80,PF,1524365666,100,-16.48,-151.75,82.2,8.79
40,pinawa,24,CA,1524365943,60,50.15,-95.88,51.87,11.36
41,bongandanga,36,CD,1524365943,96,1.51,21.07,74.01,2.3
42,arraial do cabo,88,BR,1524365577,90,-22.97,-42.02,73.38,12.26
43,hilo,90,US,1524362160,88,19.71,-155.08,73.4,5.82
44,kamaishi,0,JP,1524362400,37,39.28,141.86,69.8,3.36
45,cape town,0,ZA,1524362400,93,-33.93,18.42,53.6,6.93
46,connersville,1,US,1524363300,34,39.64,-85.14,51.8,5.82
47,ojinaga,76,US,1524365945,13,29.56,-104.41,62.58,3.31
48,airai,20,TL,1524365085,57,-8.93,125.41,82.83,3.09
49,kavieng,32,PG,1524365622,100,-2.57,150.8,82.74,5.44
50,ghanzi,0,BW,1524365671,55,-21.7,21.65,55.29,2.98
51,khatanga,68,RU,1524365358,93,71.98,102.47,14.61,15.05
52,albany,1,US,1524362040,31,42.65,-73.75,46.4,9.17
53,kahului,40,US,1524362160,69,20.89,-156.47,80.6,19.46
54,tasiilaq,68,GL,1524365661,100,65.61,-37.64,25.86,4.21
55,ilulissat,92,GL,1524361800,85,69.22,-51.1,24.8,4.7
56,sialkot,0,PK,1524362400,72,32.49,74.54,62.6,4.7
57,qaanaaq,80,GL,1524365647,89,77.48,-69.36,12.54,5.44
58,norman wells,75,CA,1524362400,41,65.28,-126.83,23.0,5.82
59,bluff,0,AU,1524365636,68,-23.58,149.07,77.88,10.47
60,gorontalo,88,ID,1524365760,83,0.54,123.06,82.92,2.53
61,verkhoyansk,48,RU,1524365947,69,67.55,133.39,29.37,4.76
62,pemba,20,MZ,1524362400,94,-12.97,40.52,71.6,8.05
63,jiancheng,40,CN,1524362400,88,30.39,104.55,71.6,3.98
64,coquimbo,90,CL,1524362400,93,-29.95,-71.34,55.4,4.54
65,manacapuru,20,BR,1524365948,93,-3.3,-60.62,76.53,2.19
66,surt,0,LY,1524365848,100,31.21,16.59,60.42,10.25
67,touros,88,BR,1524365755,95,-5.2,-35.46,78.06,8.57
68,sao filipe,64,CV,1524365755,100,14.9,-24.5,68.43,13.49
69,palmer,1,US,1524362220,52,61.6,-149.11,50.0,17.22
70,viedma,32,AR,1524365129,49,-40.81,-62.99,77.52,19.19
71,asyut,0,EG,1524362400,59,27.18,31.19,64.4,18.34
72,port elizabeth,1,US,1524362160,70,39.31,-74.98,53.6,3.36
73,namatanai,24,PG,1524365950,94,-3.66,152.44,85.98,4.99
74,hermanus,12,ZA,1524365636,91,-34.42,19.24,42.69,2.75
75,ternate,20,PH,1524362400,59,14.29,120.72,89.6,9.17
76,barrow,0,AR,1524365631,70,-38.31,-60.23,68.61,12.15
77,san cristobal,75,EC,1524362400,81,-0.39,-78.55,51.8,6.93
78,mulege,92,MX,1524365951,43,26.88,-111.98,69.33,2.42
79,mitsamiouli,8,KM,1524365748,99,-11.38,43.28,81.93,7.78
80,zeya,0,RU,1524365951,32,53.74,127.27,45.3,3.2
81,mount darwin,64,ZW,1524365951,89,-16.77,31.58,64.83,5.32
82,chuy,0,UY,1524365063,98,-33.69,-53.46,66.72,8.57
83,kurilsk,24,RU,1524365952,95,45.23,147.88,33.15,14.5
84,iqaluit,20,CA,1524362400,85,63.75,-68.52,15.8,3.36
85,sedhiou,0,SN,1524365952,55,12.71,-15.56,72.66,8.79
86,poso,48,ID,1524365952,100,-1.4,120.75,79.86,3.76
87,mahebourg,75,MU,1524362400,83,-20.41,57.7,77.0,11.41
88,semirom,0,IR,1524365953,68,31.41,51.57,37.2,3.31
89,tuktoyaktuk,5,CA,1524362400,77,69.44,-133.03,-2.21,2.24
90,manati,0,AL,1524363600,93,41.76,19.67,51.8,2.24
91,nemuro,75,JP,1524362400,57,43.32,145.57,48.2,11.41
92,alice springs,0,AU,1524362400,16,-23.7,133.88,87.8,14.99
93,san lazaro,75,BZ,1524362400,83,18.04,-88.66,80.6,8.05
94,aksu,90,KZ,1524362400,76,52.04,76.93,50.0,8.95
95,dikson,76,RU,1524365634,100,73.51,80.55,12.72,18.07
96,saurimo,0,AO,1524365954,66,-9.66,20.4,62.22,3.65
97,kapaa,90,US,1524364260,78,22.08,-159.32,78.8,16.11
98,puerto ayora,0,EC,1524365646,97,-0.74,-90.35,76.53,8.68
99,pimentel,32,BR,1524365688,97,-3.7,-45.5,74.64,3.98
100,nikolskoye,75,RU,1524362400,80,59.7,30.79,35.6,8.95
101,klaksvik,80,FO,1524363600,100,62.23,-6.59,44.6,11.41
102,bredasdorp,8,ZA,1524362400,87,-34.53,20.04,51.8,4.7
103,hamilton,40,BM,1524362100,67,32.3,-64.78,62.6,9.17
104,canete,0,IT,1524363600,86,46.33,9.49,55.4,2.24
105,deputatskiy,76,RU,1524365706,84,69.3,139.9,26.94,3.87
106,flinders,40,AU,1524362400,49,-34.58,150.85,71.6,4.7
107,caravelas,80,BR,1524365956,100,-17.73,-39.27,78.42,13.27
108,saint-pierre,0,FR,1524364200,82,48.95,4.24,57.2,3.36
109,emerald,0,AU,1524365957,46,-23.53,148.16,82.02,11.25
110,constitucion,40,MX,1524361620,14,23.99,-104.67,77.0,6.93
111,jamestown,0,AU,1524365637,22,-33.21,138.6,84.99,9.01
112,tezu,76,IN,1524365958,95,27.93,96.16,62.31,1.63
113,nicoya,40,CR,1524362400,62,10.15,-85.45,84.2,3.36
114,matagami,12,NG,1524365733,90,9.67,8.4,64.92,3.31
115,bambous virieux,75,MU,1524362400,83,-20.34,57.76,77.0,11.41
116,lompoc,1,US,1524364500,56,34.64,-120.46,68.0,5.82
117,portland,20,US,1524361980,38,45.52,-122.67,60.8,9.17
118,shintomi,20,JP,1524362400,64,32.08,131.47,71.6,6.93
119,rabaul,20,PG,1524365959,98,-4.2,152.17,83.64,8.01
120,halvad,0,IN,1524365959,53,23.02,71.18,80.22,8.34
121,mayo,75,CA,1524362400,41,63.59,-135.9,42.8,4.7
122,provideniya,0,RU,1524365638,100,64.42,-173.23,23.16,22.88
123,upernavik,24,GL,1524365627,100,72.79,-56.15,12.99,3.98
124,kaitangata,80,NZ,1524365682,72,-46.28,169.85,52.59,21.65
125,ornskoldsvik,32,SE,1524363600,80,63.29,18.72,39.2,5.82
126,purpe,12,RU,1524365961,86,64.48,76.69,8.67,7.67
127,henties bay,44,NA,1524365961,100,-22.12,14.28,60.42,4.88
128,melville,90,CA,1524362400,76,50.93,-102.81,48.2,16.11
129,hithadhoo,88,MV,1524365629,100,-0.6,73.08,84.72,11.03
130,worland,1,US,1524361980,27,44.02,-107.96,62.6,3.2
131,oneonta,0,US,1524365724,67,42.45,-75.06,31.89,3.2
132,tiksi,0,RU,1524365761,85,71.64,128.87,26.94,6.55
133,cascais,20,PT,1524364200,87,38.7,-9.42,60.8,8.05
134,chokurdakh,32,RU,1524365435,100,70.62,147.9,23.25,4.65
135,pangkalanbuun,48,ID,1524365963,95,-2.68,111.62,84.0,3.87
136,mitu,64,IR,1524365963,80,36.2,46.09,46.47,6.44
137,fayaoue,36,NC,1524365963,100,-20.65,166.53,78.24,16.51
138,saint-philippe,1,CA,1524363300,31,45.36,-73.48,46.4,9.17
139,rzeszow,0,PL,1524364200,66,50.04,22.0,48.2,5.82
140,horsham,0,AU,1524365703,65,-36.71,142.2,75.54,4.54
141,ginda,0,IN,1524365964,70,30.69,78.49,53.22,1.97
142,fukue,20,JP,1524362400,72,35.03,136.69,68.0,5.82
143,sisimiut,0,GL,1524365120,73,66.94,-53.67,11.82,3.65
144,carnarvon,8,ZA,1524365625,72,-30.97,22.13,39.81,2.75
145,thunder bay,5,CA,1524362400,74,48.41,-89.26,33.8,5.82
146,sabang,44,PH,1524365761,92,13.72,123.58,83.55,4.99
147,cayenne,76,GF,1524364200,100,4.94,-52.33,75.2,2.24
148,makakilo city,75,US,1524364560,73,21.35,-158.09,82.4,10.29
149,miandoab,90,IR,1524362400,93,36.97,46.1,42.8,2.24
150,pochutla,0,MX,1524365966,100,15.74,-96.47,82.47,9.69
151,vacaria,12,BR,1524365966,92,-28.51,-50.94,57.9,3.2
152,oer-erkenschwick,0,DE,1524365400,93,51.64,7.26,51.8,4.7
153,ponta do sol,36,BR,1524365673,83,-20.63,-46.0,61.86,3.42
154,cidreira,12,BR,1524365646,91,-30.17,-50.22,70.59,6.44
155,bandarbeyla,88,SO,1524365967,100,9.49,50.81,81.3,2.64
156,igarka,32,RU,1524365968,94,67.47,86.57,6.69,13.15
157,cabo san lucas,75,MX,1524361380,50,22.89,-109.91,75.2,3.36
158,najran,75,SA,1524362400,50,17.54,44.22,77.0,2.24
159,san patricio,0,PY,1524365729,85,-26.98,-56.83,73.2,2.19
160,birao,0,CF,1524365775,45,10.3,22.78,67.62,3.65
161,clyde river,40,CA,1524363120,77,70.47,-68.59,32.0,18.34
162,kununurra,0,AU,1524364200,36,-15.77,128.74,95.0,4.7
163,la ronge,90,CA,1524362400,80,55.1,-105.3,41.0,5.82
164,picos,80,BR,1524365969,51,-7.08,-41.47,82.65,12.48
165,kidal,0,ML,1524365970,22,18.44,1.41,60.51,2.98
166,hobyo,32,SO,1524365131,93,5.35,48.53,75.72,3.42
167,kiama,40,AU,1524362400,49,-34.67,150.86,71.6,4.7
168,longyearbyen,40,NO,1524361800,67,78.22,15.63,23.0,14.99
169,jand,0,PK,1524365971,90,33.43,72.02,62.94,3.76
170,kupang,0,ID,1524365971,78,-10.16,123.6,87.78,16.51
171,del rio,1,US,1524362100,13,29.36,-100.9,80.6,4.7
172,fortuna,0,ES,1524364200,72,38.18,-1.13,60.8,3.36
173,maumere,8,ID,1524365972,96,-8.63,122.22,86.52,9.35
174,mosquera,40,CO,1524362400,93,4.71,-74.23,51.8,3.36
175,yellowknife,75,CA,1524362400,54,62.45,-114.38,30.2,10.29
176,saldanha,92,PT,1524365101,98,41.42,-6.55,53.22,2.42
177,komsomolskiy,56,RU,1524365973,89,67.55,63.78,7.68,4.76
178,matthews,1,US,1524365580,62,35.12,-80.72,59.0,7.56
179,mahibadhoo,44,MV,1524365973,100,3.78,72.97,84.09,6.11
180,potrero del llano,0,MX,1524365973,69,21.08,-97.73,78.06,7.56
181,san carlos,12,VE,1524365974,82,9.66,-68.59,75.36,2.98
182,sao felix do xingu,64,BR,1524365683,100,-6.64,-51.99,71.49,1.41
183,tinskoy,32,RU,1524365974,46,56.15,96.92,54.21,4.65
184,harper,1,US,1524363300,77,30.3,-99.24,75.2,4.7
185,umm lajj,8,SA,1524365975,80,25.02,37.27,71.13,6.33
186,avarua,12,CK,1524365626,100,-21.21,-159.78,79.23,5.44
187,ostersund,8,SE,1524363600,80,63.18,14.64,35.6,21.92
188,codrington,92,AU,1524365752,100,-28.95,153.24,63.93,5.21
189,yairipok,8,IN,1524365976,74,24.67,94.07,77.79,2.75
190,shubarshi,92,KZ,1524365976,96,48.59,57.19,45.03,4.21
191,vestmannaeyjar,92,IS,1524365101,99,63.44,-20.27,41.25,11.81
192,esperance,20,TT,1524362400,83,10.24,-61.45,77.0,3.36
193,te anau,0,NZ,1524365976,78,-45.41,167.72,50.43,3.42
194,mount gambier,0,AU,1524365716,70,-37.83,140.78,68.88,3.31
195,sechura,0,PE,1524365977,77,-5.56,-80.82,70.59,11.25
196,hofn,92,IS,1524365103,100,64.25,-15.21,39.63,22.77
197,hays,90,US,1524365160,100,38.88,-99.33,44.6,9.17
198,trapani,0,IT,1524362100,87,38.02,12.54,53.6,3.36
199,torbay,40,CA,1524362400,86,47.66,-52.73,32.0,20.8
200,vila,0,IT,1524363600,76,45.18,8.4,60.8,6.93
201,tilichiki,88,RU,1524365737,89,60.47,166.1,30.72,10.25
202,saquena,0,PE,1524365978,96,-4.67,-73.52,74.55,3.76
203,geraldton,5,CA,1524362400,33,49.72,-86.95,46.4,5.82
204,bratslav,0,UA,1524365979,55,48.83,28.94,49.98,9.69
205,isangel,90,VU,1524362400,78,-19.55,169.27,82.4,9.17
206,saskylakh,80,RU,1524365691,91,71.97,114.09,22.98,21.43
207,christchurch,0,NZ,1524364200,38,-43.53,172.64,59.0,3.36
208,gravelbourg,0,CA,1524365980,34,49.88,-106.56,50.34,23.11
209,caxito,92,BR,1524365980,79,-22.65,-42.51,69.51,7.45
210,porto belo,40,BR,1524362400,88,-27.15,-48.54,71.6,5.82
211,leningradskiy,64,RU,1524365504,100,69.38,178.42,24.33,11.03
212,karasjok,92,NO,1524363600,88,69.47,25.52,32.0,5.82
213,guiyang,75,CN,1524362400,64,26.58,106.71,75.2,11.18
214,anadyr,0,RU,1524362400,49,64.73,177.51,26.6,6.71
215,vila franca do campo,75,PT,1524364200,87,37.72,-25.43,60.8,12.75
216,new norfolk,40,AU,1524362400,45,-42.78,147.06,68.0,8.05
217,aguimes,20,ES,1524364200,63,27.91,-15.45,62.6,5.82
218,rancho palos verdes,75,US,1524362280,48,33.75,-118.37,82.4,12.75
219,paita,0,PE,1524365982,79,-5.09,-81.11,69.69,5.88
220,garissa,92,KE,1524365712,99,-0.46,39.64,71.58,4.09
221,labuhan,36,ID,1524365983,76,-2.54,115.51,85.44,2.64
222,wabrzezno,0,PL,1524364200,86,53.28,18.95,37.4,4.7
223,turukhansk,64,RU,1524365983,100,65.8,87.96,11.28,8.01
224,talara,0,PE,1524365984,79,-4.58,-81.27,69.69,5.88
225,phetchaburi,20,TH,1524362400,66,13.1,99.94,87.8,6.93
226,atuntaqui,24,EC,1524365710,100,0.33,-78.22,47.19,1.63
227,talnakh,48,RU,1524365084,92,69.49,88.39,6.69,10.25
228,baneh,100,IR,1524365961,45,35.99,45.88,55.92,5.66
229,haimen,92,CN,1524365985,81,31.87,121.18,72.93,11.25
230,ulety,0,RU,1524365985,45,51.36,112.48,54.57,4.76
231,matadi,80,CD,1524365985,100,-5.83,13.46,75.27,2.75
232,meulaboh,12,ID,1524365985,100,4.14,96.13,83.01,4.99
233,binghamton,1,US,1524362160,30,42.1,-75.91,42.8,6.93
234,quincy,90,US,1524364500,77,30.59,-84.58,69.8,10.29
235,noumea,0,NC,1524364200,62,-22.28,166.46,84.2,12.75
236,lasa,0,CY,1524364200,55,34.92,32.53,60.8,14.99
237,manokwari,56,ID,1524365987,100,-0.87,134.08,81.3,5.77
238,taltal,12,CL,1524365987,98,-25.41,-70.49,56.64,0.29
239,itacarambi,88,BR,1524365624,74,-15.1,-44.09,72.12,6.67
240,lorengau,36,PG,1524365742,92,-2.02,147.27,86.43,9.13
241,kuytun,0,RU,1524365988,56,54.34,101.51,52.86,3.98
242,muros,20,ES,1524364200,100,42.77,-9.06,51.8,3.98
243,colares,20,PT,1524364200,87,38.8,-9.45,60.8,8.05
244,fremont,1,US,1524364800,81,37.55,-121.99,78.8,9.17
245,malindi,68,KE,1524365988,88,-3.22,40.12,80.58,9.69
246,ketchikan,75,US,1524362160,75,55.34,-131.65,46.4,16.11
247,thompson,90,CA,1524362400,43,55.74,-97.86,51.8,4.7
248,gidam,0,IN,1524365989,54,18.98,81.4,85.53,6.55
249,adrar,0,DZ,1524362400,18,27.87,-0.29,71.6,9.17
250,chorley,0,GB,1524363600,82,53.65,-2.63,60.8,11.41
251,vilhena,32,BR,1524365990,89,-12.74,-60.15,73.02,1.63
252,zhigansk,76,RU,1524365641,78,66.77,123.37,31.89,10.13
253,muli,0,IN,1524365990,53,22.62,71.45,80.22,8.34
254,san carlos de bariloche,75,AR,1524362400,66,-41.13,-71.31,51.8,10.29
255,gizo,40,IL,1524364200,77,31.8,34.94,66.2,14.99
256,narsaq,48,GL,1524361800,69,60.91,-46.05,37.4,1.12
257,grindavik,20,IS,1524362400,93,63.84,-22.43,39.2,17.22
258,amboasary,0,MG,1524365991,100,-25.04,46.38,66.09,6.44
259,kieta,64,PG,1524365991,91,-6.22,155.63,83.82,5.66
260,saginaw,1,US,1524364800,56,43.42,-83.95,46.4,5.82
261,maragheh,90,IR,1524362400,93,37.39,46.24,42.8,2.24
262,nalut,36,LY,1524365992,70,31.86,10.98,53.31,4.54
263,coahuayana,0,MX,1524365500,60,18.62,-100.35,72.48,2.42
264,aksarka,64,RU,1524365683,93,66.56,67.8,11.91,6.44
265,moree,0,AU,1524365993,53,-29.46,149.84,76.26,4.43
266,lata,0,IN,1524365773,70,30.78,78.62,53.22,1.97
267,ajaccio,0,FR,1524364200,87,41.93,8.74,57.2,5.82
268,whitehorse,40,CA,1524362400,35,60.72,-135.06,41.0,12.75
269,herat,40,AF,1524365700,58,34.35,62.22,59.0,3.36
